test_type,date,experiment_name,sample_name,batch_sample_number,replication,tin_number,tin_w_wet_sample,tin_w_OD_sample,tin_tare_set,comments
PL,2021-02-02,Quickcrete_Cu_Casselman,mix_39,1,1,46,17.088,16.112,2020-05-24,-
PL,2021-02-02,Quickcrete_Cu_Casselman,mix_39,1,2,47,21.507,20.762,2020-05-24,-
PL,2021-02-02,Quickcrete_Cu_Casselman,mix_39,1,3,48,21.299,20.570,2020-05-24,-
PL,2021-02-02,Quickcrete_Cu_Casselman,mix_40,2,1,49,19.838,18.972,2020-05-24,-
PL,2021-02-02,Quickcrete_Cu_Casselman,mix_40,2,2,50,21.181,20.149,2020-05-24,-
PL,2021-02-02,Quickcrete_Cu_Casselman,mix_40,2,3,51,19.102,18.383,2020-05-24,-
PL,2021-02-02,Quickcrete_Cu_Casselman,mix_41,3,1,54,20.794,20.159,2020-05-24,tins got scrambled buy I figured out which were which. Data are correct
PL,2021-02-02,Quickcrete_Cu_Casselman,mix_41,3,2,52,22.332,21.532,2020-05-24,tins got scrambled buy I figured out which were which. Data are correct
PL,2021-02-02,Quickcrete_Cu_Casselman,mix_41,3,3,53,21.708,20.999,2020-05-24,tins got scrambled buy I figured out which were which. Data are correct
PL,2021-02-02,Quickcrete_Cu_Casselman,mix_42,4,1,55,19.273,18.470,2020-05-24,-
PL,2021-02-02,Quickcrete_Cu_Casselman,mix_42,4,2,56,20.210,19.254,2020-05-24,-
PL,2021-02-02,Quickcrete_Cu_Casselman,mix_42,4,3,57,22.802,21.431,2020-05-24,-
